Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
83,655,86,Jul 10,NYY,@,BOS,L6-11,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.283,.361,.610,.971,2,.81,-0.062,.17,-0.01%,-1.23,5.00,6.20,RF
84,656,87,Jul 12,NYY,,CIN,L3-4,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.282,.360,.608,.968,9,3.41,-0.086,.73,-0.01%,-0.23,0.00,0.00,PH
85,657,88,Jul 13,NYY,,CIN,W7-6,CG(10),5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,.279,.358,.601,.958,2,1.43,-0.218,.35,-0.03%,-1.38,7.00,9.00,CF
86,658,89,Jul 14,NYY,,CIN,L6-7,CG(10),5,4,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.278,.358,.606,.964,2,1.35,0.006,.28,0.00%,0.46,18.00,24.90,CF
87,659,90,Jul 15,NYY,,BOS,L4-5,CG(11),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.274,.354,.596,.950,2,1.99,-0.286,.52,-0.05%,-1.65,0.00,0.00,CF
88,660,91,Jul 16,NYY,,BOS,W14-1,GS-8,4,3,3,3,0,0,2,3,1,0,0,0,0,0,0,0,0,0,.281,.360,.618,.978,2,.36,0.085,.12,0.02%,3.08,37.00,50.10,CF
89,661,92,Jul 17,NYY,,BOS,W13-2,GS-7,4,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.284,.364,.618,.983,2,.77,0.039,.23,0.01%,0.92,14.00,18.90,CF
90,662,93,Jul 21 (1),NYY,@,HOU,L2-3,CG,4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.282,.366,.615,.980,3,1.40,0.075,.36,0.01%,0.98,4.00,6.00,DH
91,663,94,Jul 21 (2),NYY,@,HOU,L5-7,CG,5,4,2,1,0,0,1,3,1,0,3,0,0,0,0,0,0,0,.282,.366,.619,.985,1,.60,-0.027,.17,0.00%,1.40,22.00,31.90,DH
92,664,95,Jul 22,NYY,@,BAL,W7-6,CG,4,4,2,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,.284,.368,.635,1.003,2,.98,0.343,.31,0.06%,3.03,32.00,44.40,CF
93,665,96,Jul 23,NYY,@,BAL,L3-6,CG,5,5,0,4,2,0,0,2,0,0,0,0,0,0,0,0,1,0,.292,.373,.643,1.016,2,1.16,0.274,.24,0.04%,3.00,25.00,31.00,CF
94,666,97,Jul 24,NYY,@,BAL,W6-0,CG,5,4,2,2,0,0,1,2,1,0,2,0,0,0,0,0,0,0,.294,.376,.650,1.025,2,.46,0.156,.13,0.03%,2.04,23.00,31.40,DH CF
95,667,98,Jul 26,NYY,@,NYM,L3-6,CG,5,4,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.296,.378,.657,1.035,2,1.44,0.102,.34,0.01%,1.12,19.00,24.70,CF
96,668,99,Jul 27,NYY,@,NYM,L2-3,CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.292,.374,.648,1.021,2,1.73,-0.228,.47,-0.04%,-1.50,0.00,0.00,CF
97,669,100,Jul 28,NYY,,KCR,W1-0,CG,4,3,1,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,.293,.375,.653,1.028,2,1.06,0.420,.30,0.07%,1.09,21.00,27.70,DH
98,670,101,Jul 29,NYY,,KCR,W11-5,CG,5,5,2,3,0,0,2,6,0,0,1,0,0,0,0,0,0,0,.297,.378,.668,1.046,2,1.08,0.215,.25,0.03%,5.09,39.00,54.40,RF
